"nimi","yritys","ytunnus","osoite","postitoimipaikka","postinumero","laitospaikka","laitostyyppi","erillistuotanto_maksimi_yhteensa","erillistuotanto_tunti_yhteensa","erillistuotanto_poistettu","yhteistuotanto_teollisuus_yhteensa","yhteistuotanto_teollisuus_tunti","yhteistuotanto_teollisuus_poistettu","yhteistuotanto_kaunkolampo_yhteensa","yhteistuotanto_kaukolampo_tunti","yhteistuotanto_kaukolampo_poistettu","maksimi_yhteensa","tunti_yhteensa","poistettu_yhteensa","polttoaine1","polttoaine2","polttoaine3"
"Kuopio, Savon Sellu","Savon Sellu OY","1927906-4","PL57  (Käyntiosoite Sorsasalo)","KUOPIO",70101,"Savon Sellu Vastapainevoimalaitos","Teollisuus CHP",0,0,0,"20,5","11,9",0,0,0,0,"20,5","11,9",0,"Puunjalostusteolliuuden jäteliemet","Turve","Teollisuuden puutähde"
"Kurittukoski","Kemijoki Oy","0192171-7","PL 8131","ROVANIEMI",96101,"Kurittukoski","Vesivoima",15,"14,6",0,0,0,0,0,0,0,15,"14,6",0,,,
"Kurkiaska","Kemijoki Oy","0192171-7","PL 8131","ROVANIEMI",96101,"Kurkiaska","Vesivoima","26,6",23,0,0,0,0,0,0,0,"26,6",23,0,,,
"Kuurna","Kuurnan Voima Oy","0169018-9","Rantakatu 29 ","Joensuu",80100,"Kontiolahti, Kuurna","Vesivoima","21,2","6,9",0,0,0,0,0,0,0,"21,2","6,9",0,,,
"Kuuronkallion tuulipuisto","wpd Kannuksen tuulipuisto oy","2514820-4","Keilaranta 19","Espoo",2150,"Kuuronkallion tuulipuisto","Tuulivoima","58,8","58,8",0,0,0,0,0,0,0,"58,8","58,8",0,,,
"Kuusaanniemi","UPM-Kymmene Oyj",10410900,"Ky-35","Kuusankoski",45700,"Kuusanniemi","Teollisuus CHP",0,0,0,64,45,0,0,0,0,64,45,0,"Puunjalostusteollisuuden sivu- ja jätetuotteet","Maakaasu","Keskiraskas öljy"
"Kuusamo","Adven Oy","2379598-5","PL 162","Vantaa",1511,"Kuusamon voimalaitos","Kaukolämpö CHP",0,0,0,0,0,0,6,"5,2",0,6,"5,2",0,"Teollisuuden puutähde","Turve",
"Kuusankoski bv","Kymin Voima Oy","0763405-7","Selluntie 3","Kuusankoski",45700,"Kuusankoski","Teollisuus CHP",0,0,0,76,76,0,0,0,0,76,76,0,"Teollisuuden puutähde","Maakaasu","Keskiraskas öljy"
"Kuusankoski ve","UPM Energy Oy","2760639-5","Ky-35","Kuusankoski",45700,"Kuusankoski","Vesivoima",30,30,0,0,0,0,0,0,0,30,30,0,,,
"Kymijärvi 1","Lahti Energia Oy","0804847-1",,,15141,"Kymijärvi Voimakatu 16, Lahti","Kaukolämpö CHP",0,0,0,0,0,0,45,45,125,45,45,125,"Kivihiili","Maakaasu","Tuotekaasu"
"Kymijärvi 2","Lahti Energia Oy","0804847-1",,,15141,"Kymijärvi2 Voimakatu 16, Lahti","Kaukolämpö CHP",0,0,0,0,0,0,45,45,0,45,45,0,"Tuotekaasu","Maakaasu",
"Kyrkösjärvi","Seinäjoen Energia Oy","0974008-0","Varastotie 5","Seinäjoki",60100,"Kyrkösjärvi, Seinäjoki","Vesivoima","7,8","7,5",0,0,0,0,0,0,0,"7,8","7,5",0,,,
"Kytölä","Kytölän Tuulipuisto Ky","2659988-3","c/o Taaleritehdas Oy, Kluuvikatu 3","Helsinki",100,"Kytölä","Tuulivoima","19,8","19,8",0,0,0,0,0,0,0,"19,8","19,8",0,,,
"Käenkoski","Killin Voima Oy",1579405,"PL 25","Virrat",34801,"Käenkoski","Vesivoima",2,2,0,0,0,0,0,0,0,2,2,0,,,
"Lakiakangas 1","CPC Lakiakangas 1 Oy","2571601-3","PL 8","Isojoki",64901,"Lakiakangas 1, Isojoki","Tuulivoima",7,7,0,0,0,0,0,0,0,7,7,0,,,
"Lakiakangas 2","Lakiakangas 1 Oy","2571601-3","Teollisuustie 1A","ISOJOKI",64900,"Lakiakangas 2","Tuulivoima","50,4","50,4",0,0,0,0,0,0,0,"50,4","50,4",0,,,
"Lappeenranta TG9","UPM-Kymmene Oyj",10410900,"Ky-35","Kuusankoski",45700,"Lappeenranta TG9","Teollisuus CHP",0,0,0,"67,3","67,3",0,0,0,0,"67,3","67,3",0,"Puunjalostusteolliuuden jäteliemet","Raskas öljy",
"Lappeenranta, Kaukaan tehdas","Kaukaan Voima Oy","1762575-2","Kaukaantie 16","Lappeenranta",53200,,"Kaukolämpö CHP",0,0,0,56,56,0,63,63,0,119,119,0,"Teollisuuden puutähde","Maakaasu",
"Lapua","Kiviristin Lämpö Oy","0180601-4","Makasiinintie 7","Lapua",62100,"Lapua","Kaukolämpö CHP",0,0,0,0,0,0,4,4,0,4,4,0,"Turve","Metsäpolttoaine, puu","Teollisuuden puutähde"
"Larsmo tv","Ab Larsmo Vindkraft Oy","1720341-0","Risöhällvägen 18","Larsmo",68570,"Larsmo Vindkraftverk","Tuulivoima",1,1,0,0,0,0,0,0,0,1,1,0,,,
"Latamäki","Ilmatar Luhanka Oy","2465881-9","Bulevardi 7","Helsinki",120,"Latamäki, Luhanka","Tuulivoima",18,18,0,0,0,0,0,0,0,18,18,0,,,
"Leipiö 2","Tuuliwatti Oy","2263278-9","PL 100","Helsinki","`00381","Leipiö 2","Tuulivoima","45,5","45,5",0,0,0,0,0,0,0,"45,5","45,5",0,,,
"Lemene Aurinko 1","Lempäälän Energia Oy","0150764-7","Tampereentie 10","LEMPÄÄLÄ",37501,"Rajamäentie 15, 37550 Lempäälä","Aurinko","1,8",0,0,0,0,0,0,0,0,"1,8",0,0,,,
"Lemene Aurinko 2","Lempäälän Energia Oy","0150764-7","Tampereentie 10","LEMPÄÄLÄ",37501,"Kuljuntie 233, 37550 Lempäälä","Aurinko","1,8",0,0,0,0,0,0,0,0,"1,8",0,0,,,
"Lemene KM1","Lempäälän Energia Oy","0150764-7","Tampereentie 10","LEMPÄÄLÄ",37501,"Ruokosmetsänkatu 11, 37550 Lempäälä","Kaukolämpö CHP",0,0,0,0,0,0,3,3,0,3,3,0,"Maakaasu",,
"Lemene KM2","Lempäälän Energia Oy","0150764-7","Tampereentie 10","LEMPÄÄLÄ",37501,"Kalliokummuntie 28, 37550 Lempäälä","Kaukolämpö CHP",0,0,0,0,0,0,"2,4","2,4",0,"2,4","2,4",0,"Maakaasu",,
"Leppikoski","Fortum Power & Heat , Generation","0109160-2","Keilaniementie 1","PL 100","00048 Fortum","Leppikoski","Vesivoima",24,24,0,0,0,0,0,0,0,24,24,0,,,
"Lestijärvi","Verkko Korpela Oy","2045704-0","PL 13","Kannus",69101,"Lestijärvi","Erillistuotanto","1,3","1,3",0,0,0,0,0,0,0,"1,3","1,3",0,,,
"Leuhunkoski","Vattenfall Sähköntuotanto oy","1076456-5","Maaistraatinportti 4 A","Helsinki",240,"Saarijärvi / Leuhunkoski","Vesivoima","3,2","3,2",0,0,0,0,0,0,0,"3,2","3,2",0,,,
"Lieksa Kevätniemi","Vapo Oy",174817,"PL 22","Jyväskylä",40101,"Lieksa","Teollisuus CHP",0,0,0,7,7,0,0,0,0,7,7,0,"Turve","Keskiraskas öljy","Teollisuuden puutähde"
"Lieksankoski","Kemijoki Oy","0192171-7","PL 8131","ROVANIEMI",96101,"Lieksankoski","Vesivoima",16,16,0,0,0,0,0,0,0,16,16,0,,,
"Lielahti","Tampereen Sähkölaitos","0211675-2","PL 175","TAMPERE",33101,"Lielahti","Kaukolämpö CHP",0,0,0,0,0,0,142,142,0,142,142,0,"Maakaasu","Keskiraskas öljy",
"Limakko","Limakon Tuulipuisto Ky","2700715-7","Kluuvikatu 3","Helsinki","`00100","Limakko","Tuulivoima",27,27,0,0,0,0,0,0,0,27,27,0,,,
"Liunankoski","Savon Voima Oyj","0171351-2","PL 1024","Toivala",70901,"Joroinen, Liunantie 79","Vesivoima","1,2",1,0,0,0,0,0,0,0,"1,2",1,0,,,
"Loviisa kt","Fingrid Oyj","1072894-3","PL 530 ( Arkadiakatu 23 B)","Helsinki",100,"Loviisa kt 1, 2","Erillistuotanto",40,40,0,0,0,0,0,0,0,40,40,0,"Keskiraskas öljy",,
"Loviisa Y1","Fortum Power & Heat , Power","0109160-2","Keilaniementie 1","PL 100",48,"Loviisa I","Ydinvoima",507,507,0,0,0,0,0,0,0,507,507,0,"Ydinenergia",,
"Loviisa Y2","Fortum Power & Heat , Power","0109160-2","Keilalahdentie 2-4","PL 100","00048 Fortum","Loviisa 2","Ydinvoima",507,507,0,0,0,0,0,0,0,507,507,0,"Ydinenergia",,
"Lumijoki","Lumituuli Oy","1454032-3","Eerikinkatu 27","Helsinki",180,"Lumijoki","Tuulivoima","1,6","1,6",0,0,0,0,0,0,0,"1,6","1,6",0,,,
"LW Jouttikallio","Kyyttö Energy Oy","2834718-8","Vasunmäentie 1399","Mäki-Paavola",62185,"LW Jouttikallio","Tuulivoima","4,2","4,2",0,0,0,0,0,0,0,"4,2","4,2",0,,,
"LW Koskenkylä","Koskenkylän Tuulienergia Oy","2564965-8","Kurikantie 255","Kauhajoki",61850,"LW Koskenkylä","Tuulivoima","2,35","2,35",0,0,0,0,0,0,0,"2,35","2,35",0,,,
"LW Mustaisneva 6","Suotuuli Oy","2622755-3","Kokonkyläntie 257","Kauhajoki",61800,"Halmeen metsätie 29","Tuulivoima",3,3,0,0,0,0,0,0,0,3,3,0,,,
"LW Pensala","Årvas Wind Ab","2685183-1","Backasvägen 4","Pensala",66840,"Norrpiggvägen","Tuulivoima",3,3,0,0,0,0,0,0,0,3,3,0,,,
"Långfors","Oy HERRFORS Ab",,"Storgatan 8","68600 Jakobstad",,"Långfors","Vesivoima","1,2","0,3",0,0,0,0,0,0,0,"1,2","0,3",0,,,
"Maalismaa","PVO Vesivoima Oy","09404130-0","Virkkulantie 207","91100 Ii",91100,"maalismaa","Vesivoima","38,5","38,5",0,0,0,0,0,0,0,"38,5","38,5",0,,,
"Maavesi","Savon Voima Oyj","0171351-2","PL 1024","Toivala",70901,"Joroinen, Katajamäentie 1461, Maavesi","Vesivoima","1,9","1,8",0,0,0,0,0,0,0,"1,9","1,8",0,,,
"Mankala","Oy Mankala Ab","0158738-4","Sitikkalantie 189","KAUSALA",47400,"Mankala","Vesivoima",30,"25,5",0,0,0,0,0,0,0,30,"25,5",0,,,
"Martinlaakso","Vantaan Energia Oy","0124461-3","Peltolantie 27","Vantaa",1300,"Martinlaakso","Kaukolämpö CHP","2,1","2,1",0,0,0,0,197,189,0,"199,1","191,1",0,"Metsäpolttoaine, puu","Maakaasu","Keskiraskas öljy"
"Matarakoski","Kemijoki Oy","0192171-7","PL 8131","ROVANIEMI",96101,"Matarakoski","Vesivoima","10,1","9,3",0,0,0,0,0,0,0,"10,1","9,3",0,,,
"Melo","PVO Vesivoima Oy","09404130-0","Virkkulantie 207","91100 Ii",91100,"melo","Vesivoima",70,70,0,0,0,0,0,0,0,70,70,0,,,
"Merikoski","Oulun Energia","0187690-1","Kasarmintie 6, PL 116","Oulu ",90101,"Koskitie 30, Oulu, Merikosken voimalaitos","Vesivoima",42,"41,5",0,0,0,0,0,0,0,42,"41,5",0,,,
"Meri-Pori","Fortum Power & Heat , Generation","0109160-2","Keilaniementie 1","PL 100","00048 Fortum","Meri-Pori","Erillistuotanto",565,565,0,0,0,0,0,0,0,565,565,0,"Kivihiili","Raskas öljy","Keskiraskas öljy"
"Mertaniemi 1 ja 2 ","Lappeenrannan Lämpövoima Oy","0161983-3","PL 191","Lappeenranta",53101,"Mertaniemi 2","Erillistuotanto",102,102,0,0,0,0,0,0,64,102,102,64,"Keskiraskas öljy","Maakaasu",
"Metsälän tuulivoimapuisto","EPV Tuulivoima Oy","2152955-2","Kirkkopuistikko 0","Vaasa",65100,"Metsälän tuulivoimapuisto","Tuulivoima","117,3","117,3",0,0,0,0,0,0,0,"117,3","117,3",0,,,
"Montta","Fortum Power & Heat , Generation","0109160-2","Keilaniementie 1","PL 100","00048 Fortum","Montta","Vesivoima",51,51,0,0,0,0,0,0,0,51,51,0,,,
"Muntila","Muntilan Tuulivoima Oy","2581506-2","Salomonkatu 17a 12.kerros","Helsinki",100,"Muntila","Tuulivoima",9,9,0,0,0,0,0,0,0,9,9,0,,,
"Mussalon tuulivoimalat","Kotkan Energia Oy","1778863-1","Liitulahdentie 1","Kotka",48101,"Tuulivoimalat","Tuulivoima","5,7","5,7",1,0,0,0,0,0,0,"5,7","5,7",1,,,
"Mustaisneva 1-5 ja 7-9","SPC 2-Mustaisneva Oy","2592006-5","Zuiderinslag 4D","Hoevelaken 3871 MR",,"Mustaisneva 1-5 ja 7-9","Tuulivoima",20,20,0,0,0,0,0,0,0,20,20,0,,,
"Mustilankangas","Tuuliwatti Oy ","2263278-9","Purotie 1","PL 100","(00)381","Kalajoki Mustilankangas","Tuulivoima","92,4","92,4",0,0,0,0,0,0,0,"92,4","92,4",0,,,
"Mustio","Koskienergia Koskivoima Oy","2447744-7","Kotakennääntie 31","Äänekoski",44100,"Mustio, Karjaa","Vesivoima","1,8","1,8",0,0,0,0,0,0,0,"1,8","1,8",0,,,
"Myllykangas","Myllykankaan tuulipuisto Ky",25780592,"Tuulijärventie 1338","Kuivaniemi",95100,"Myllykangas","Tuulivoima","45,6","45,6",0,0,0,0,0,0,0,"45,6","45,6",0,,,
"Myllykangas 3","Myllykankaan Tuulipuisto II Ky","2641226-5","c/o Taaleri Oyj, Kluuvikatu 3","Helsinki",100,"Myllykangas 3","Tuulivoima","8,4","8,4",0,0,0,0,0,0,0,"8,4","8,4",0,,,
"Myllykoski","Koskienergia Koskivoima Oy","2447744-7","Kotakennääntie 31","Äänekoski",44100,"Myllykoski","Vesivoima","1,3","1,3",0,0,0,0,0,0,0,"1,3","1,3",0,,,
"Myllykoski ve","Myllykoski Paper Oy","0103132-3","Myllykoskentie 1","Anjalankoski",46800,"Myllykosken vesivoimalaitos","Vesivoima",25,25,0,0,0,0,0,0,0,25,25,0,,,
"Myllykoski vp","UPM","0755267-6","Hatanpään Valtatie","Tampere",240,"Myllykoskentie 1, Anjalankoski","Teollisuus CHP",0,0,0,"32,8","29,5",0,0,0,0,"32,8","29,5",0,"Teollisuuden puutähde","Keskiraskas öljy","Keskiraskas öljy"
"Mäkikankaan tuulipuisto ","wpd Mäkikankaan tuulipuisto Oy","2402612-5","Keilaranta 13","Espoo",2150,"Mäkikankaan tuulipuisto, Pyhäjoki","Tuulivoima",33,33,0,0,0,0,0,0,0,33,33,0,,,
"Mäkipää Diesel","Vaasan Sähköverkko Oy","1993667-7","PL 26","Vaasa",65101,"Mäkipää Diesel","Erillistuotanto",1,1,0,0,0,0,0,0,0,1,1,0,"Keskiraskas öljy",,
"Mänttä lä","Mäntän Energia Oy","0869547-6","Lampilinnantie 4","Mänttä",35800,"Tehtaankatu 20 Mänttä","Teollisuus CHP",0,0,0,12,12,0,0,0,0,12,12,0,"Turve","Metsäpolttoaine, puu","Keskiraskas öljy"
"Mänttä ve","Mäntän Energia Oy","0869547-6","Lampilinnantie 4","Mänttä",35800,"Mäntänkoskentie 15 Mänttä","Vesivoima","1,5","1,5",0,0,0,0,0,0,0,"1,5","1,5",0,,,
"Naantali","Turun Seudun Energiantuotanto Oy","1730092-3","Satamatie 16","Naantali",21100,"Naantalin voimalaitos","Kaukolämpö CHP",0,0,0,0,0,0,253,204,0,253,204,0,"Metsäpolttoaine, puu","Teollisuuden puutähde","Kivihiili"
"Naantali kt","Fingrid Oyj","1072894-3","PL 530 ( Arkadiakatu 23 B)","Helsinki",100,"Naantali kt 1, 2","Erillistuotanto",40,40,0,0,0,0,0,0,0,40,40,0,"Keskiraskas öljy",,
"Nahkakallio","Puhuri Oy","2316411-2","Turvetie 112","Haapavesi",86600,"Nahkakallio","Tuulivoima","26,4","26,4",0,0,0,0,0,0,0,"26,4","26,4",0,,,
"Naistenlahti 1","Tampereen Sähkölaitos","0211675-2","PL 175","TAMPERE",33101,"Naistenlahti 1","Kaukolämpö CHP",0,0,0,0,0,0,129,129,0,129,129,0,"Maakaasu","Keskiraskas öljy",
"Naistenlahti 2","Tampereen Sähkölaitos","0211675-2","PL 175","TAMPERE",33101,"Naistenlahti 2","Kaukolämpö CHP",0,0,0,0,0,0,"62,2","62,2",0,"62,2","62,2",0,"Turve","Metsäpolttoaine, puu","Teollisuuden puutähde"
"Nastola kt","Lahti Energia Oy","0804847-1",,,15141,"Nastola Rakokiventie 23","Kaukolämpö CHP",0,0,0,0,0,0,"4,6","4,6",0,"4,6","4,6",0,"Maakaasu","Keskiraskas öljy",
"Nikkarinkaarto","Suomen Hyötytuuli Oy","1477522-9","PL 305"," Pori",28601,"Nikkarinkaarto T1-T10","Tuulivoima",33,33,0,0,0,0,0,0,0,33,33,0,,,
"Nikkilä","Keravan Energia Oy","0891026-0","PL 37","Kerava",4201,"Nikkilän voimalaitos","Kaukolämpö CHP",0,0,0,0,0,0,"5,4","5,4",0,"5,4","5,4",0,"Maakaasu","Keskiraskas öljy",
"Nivala","Nivalan Kaukolämpö Oy","0291676-8","Hyttitie 5","Nivala ",85500,"Lämpölä/Hyttitie 5 Nivala","Kaukolämpö CHP",0,0,0,0,0,0,"5,3","5,3",0,"5,3","5,3",0,"Metsäpolttoaine, puu","Raskas öljy",
"Nokia kombi","Leppäkosken Sähkö Oy","0133023-9","Eino Salmelaisen katu 23","Ikaalinen",39501,"Nokia, Kerhokatu 10","Teollisuus CHP",0,0,0,72,72,0,0,0,0,72,72,0,"Maakaasu","Keskiraskas öljy",
"Nuojua","Fortum Power & Heat , Generation","0109160-2","Keilaniementie 1","PL 100","00048 Fortum","Nuojua","Vesivoima","85,2","85,2",0,0,0,0,0,0,0,"85,2","85,2",0,,,
"Nurmon Aurinko","Nurmon Aurinko Oy","2765911-2","Hermiankatu 6-8 D","Tampere",60550,"Nurmon Aurinko, Atriantie 1, 60550 Seinäjoki","Aurinko",1,1,0,0,0,0,0,0,0,1,1,0,,,
"Nyby-Ii","Nybyn Tuulipuisto Ky","2504071-1","c/o Taaleritehdas Oyj, Kluuvikatu 3","Helsinki",100,"Nyby","Tuulivoima","19,2","19,2",0,0,0,0,0,0,0,"19,2","19,2",0,,,
"Oksava","Vattenfall Sähköntuotanto oy","1076456-5","Maaistraatinportti 4 A","Helsinki",240,"Haapajärvi / Oksava","Vesivoima",3,3,0,0,0,0,0,0,0,3,3,0,,,
"Olkiluoto 1","Teollisuuden Voima Oy","0196656-0","Olkiluoto","Olkiluoto",27160,"Olkiluoto 1","Ydinvoima",890,890,0,0,0,0,0,0,0,890,890,0,"Ydinenergia",,
"Olkiluoto 2","Teollisuuden Voima Oyj","0196656-0","Olkiluoto","Olkiluoto",27160,"Olkiluoto 2","Ydinvoima",890,890,0,0,0,0,0,0,0,890,890,0,"Ydinenergia",,
"Olkiluoto kt","Fingrid Oyj","1072894-3","PL 530 (Arkadiankatu 23 B)","Helsinki",100,"Olkiluoto KT 1 ja 2, Eurajoki","Erillistuotanto","100,5","100,5",0,0,0,0,0,0,0,"100,5","100,5",0,"Keskiraskas öljy",,
"Onkalo 2","Tuuliwatti Oy","2263278-9","PL 100","Helsinki",381,"Onkalo, Simo","Tuulivoima","10,5","10,5",0,0,0,0,0,0,0,"10,5","10,5",0,,,
"Ossauskoski","Kemijoki Oy","0192171-7","PL 8131","ROVANIEMI",96101,"Ossauskoski","Vesivoima",120,117,0,0,0,0,0,0,0,120,117,0,,,
"Oulu","Stora Enso Oyj, Oulun tehdas","1039050-8","PL 196","Oulu",90101,"Oulu","Teollisuus CHP",0,0,0,105,100,0,0,0,0,105,100,0,"Puunjalostusteolliuuden jäteliemet","Teollisuuden puutähde","Turve"
"Oulu, Laanilan Voima","Laanilan Voima Oy","1997196-6","PL 191  (Typpitie)","Oulu",90101,"Oulu","Teollisuus CHP",0,0,0,28,28,0,0,0,0,28,28,0,"Turve","Teollisuuden puutähde","Keskiraskas öljy"
"Oulunsalo Riutunkari tv","Pohjantuulen Voima Oy",23970042,"Rovakatu 13 A 39","Rovaniemi",96100,"Oulunsalo, Riutunkari T1-T6","Tuulivoima",6,6,0,0,0,0,0,0,0,6,6,0,,,
"Padinki","Korpelan Voima kuntayhtymä","0178464-4","PL 13","Kannus",69101,"Padinki, Nivala","Vesivoima",1,1,0,0,0,0,0,0,0,1,1,0,,,
"Pahkakoski","PVO Vesivoima Oy","09404130-0","Virkkulantie 207","91100 Ii",91100,"pahkakoski","Vesivoima","42,1","42,1",0,0,0,0,0,0,0,"42,1","42,1",0,,,
"Pajukoski 1 A","Windfarm Ylivieska Pajukoski Ky","26117845-3","Kluuvikatu 3","Helsinki","`00100","Pajukoski 1A","Tuulivoima","6,6","6,6",0,0,0,0,0,0,0,"6,6","6,6",0,,,
"Pajukoski 1 B","Pajukosken tuulipuisto Oy","2536731-9","Kluuvikatu 3","Helsinki","`00100","Pajukosken tuulipuisto 1 B","Tuulivoima","23,1","23,1",0,0,0,0,0,0,0,"23,1","23,1",0,,,
"Palokki","Pohjois-Karjalan Sähkö Oy","0214732-1","Rantakatu 29","Joensuu",80100,"Heinävesi, Palokki","Vesivoima","6,8",3,0,0,0,0,0,0,0,"6,8",3,0,,,
"Pamilo","Pamilo Oy","0167465-6","Tuohivaarantie 40","Luhtapohja",81330,"Pamilon vesivoimalaitos","Vesivoima",85,17,0,0,0,0,0,0,0,85,17,0,,,
"Pankakoski","Kemijoki Oy","0192171-7","PL 8131","ROVANIEMI",96101,"Pankakoski","Vesivoima","15,2","13,5",0,0,0,0,0,0,0,"15,2","13,5",0,,,
"Parantalankoski","Koskienergia Oy","10140492-9","PL166"," Mikkeli",50101,"Parantala Äänekoski","Vesivoima","0,9","0,9",0,0,0,0,0,0,0,"0,9","0,9",0,,,
"Paskoonharju 1","EPV Tuulivoima Oy","2152955-2","Kirkkopuistikko 0","Vaasa",65100,"Paskoonharju 1","Tuulivoima","6,4","6,4",0,0,0,0,0,0,0,"6,4","6,4",0,,,
"Patalankoski","UPM-Kymmene Oyj",10410900,"Ky-35","Kuusankoski",45700,"Patala","Vesivoima","2,4","2,4",0,0,0,0,0,0,0,"2,4","2,4",0,,,
"Peltokoski","Koskienergia Koskivoima Oy","2447744-7","Kotakennääntie 31","Äänekoski",44100,"Peltokoski, Karjaa","Vesivoima","2,3","2,3",0,0,0,0,0,0,0,"2,3","2,3",0,,,
"Permantokoski","Kemijoki Oy","0192171-7","PL 8131","ROVANIEMI",96101,"Permantokoski","Vesivoima","14,1",13,0,0,0,0,0,0,0,"14,1",13,0,,,
"Pettumäen Mylly","Pettumäen Mylly oy","2455052-5","Joentaustantie 291","Teuva",64700,"Pettumäki Teuva","Tuulivoima","2,5","2,5",0,0,0,0,0,0,0,"2,5","2,5",0,,,
"Petäjäskoski","Kemijoki Oy","0192171-7","PL 8131","ROVANIEMI",96101,"Petäjäskoski","Vesivoima",169,165,0,0,0,0,0,0,0,169,165,0,,,
"Pieksämäki","Savon Voima Oyj","0171351-2","PL 1024","Toivala",70901,"Pieksämäki, Kutteritie 2A","Kaukolämpö CHP",0,0,0,0,0,0,10,10,0,10,10,0,"Turve",,
"Pietarsaari (Wisapower Oy)","UPM-Kymmene Oyj Wisaforest",,"Ky-35","Kuusankoski",45700,"Pietarsaari, Wisapower","Teollisuus CHP",0,0,0,116,116,0,0,0,0,116,116,0,"Puunjalostusteolliuuden jäteliemet","Raskas öljy",
"Pihlava","Pori Energia Oy","0790442-4","PL 9 (Radanvarsi 2)","PORI",28101,"Pori Pihlava","Teollisuus CHP",0,0,0,0,0,"1,4",0,0,0,0,0,"1,4","Teollisuuden puutähde","Raskas öljy",
"Pirttikoski","Kemijoki Oy","0192171-7","PL 8131","ROVANIEMI",96101,"Pirttikoski","Vesivoima",141,135,0,0,0,0,0,0,0,141,135,0,,,
"Pirttiselkä","Puhuri Oy","2316411-2","Turvetie 112","Haapavesi",86600,"Pirttiselkä","Tuulivoima","27,6","27,6",0,0,0,0,0,0,0,"27,6","27,6",0,,,
"Pitkämö","Koskienergia Koskivoima Oy","2447744-7","Kotakennääntie 31","Äänekoski",44100,"Pitkämö, Kurikka","Vesivoima","6,3","6,3",0,0,0,0,0,0,0,"6,3","6,3",0,,,
"Ponsiovuori","Ponsivuori Wind Oy c/o IKEA Oy","2880011-4","Espoontie 21","Espoo",2740,"Ponsivuori","Tuulivoima","29,5","29,5",0,0,0,0,0,0,0,"29,5","29,5",0,,,
"Pori","Porin Prosessivoima Oy","1997190-7","Töölönkatu 4","00101 Helsinki",,"Titaanitie, 28840 PORI","Teollisuus CHP",0,0,0,"81,4",76,0,0,0,0,"81,4",76,0,"Turve","Keskiraskas öljy","Keskiraskas öljy"
"Pori Kirrinsanta","Suomen Hyötytuuli Oy","1477522-9","PL 9","Pori",28101,"Pori Kirrinsanta","Tuulivoima","6,6","6,6",0,0,0,0,0,0,0,"6,6","6,6",0,,,
"Pori Peittoo","Tuuliwatti Oy ","2263278-9","Purotie 1","PL 100","(00)381","Pori Peittoo","Tuulivoima",54,54,0,0,0,0,0,0,0,54,54,0,,,
"Porin tuulipuisto tv 1 - 10","Suomen Hyötytuuli Oy","1477522-9","PL 305","PORI",28601,"Pori (Tahkoluoto / Reposaari)","Tuulivoima",9,9,0,0,0,0,0,0,0,9,9,0,,,
"Porituuli","Porituuli Oy","1987626-0","Uusikatu 53 / PL 557","Oulu",90120,"Tahkoluodon syväsatama Tuulivoimala 10","Tuulivoima",3,3,0,0,0,0,0,0,0,3,3,0,,,
"Portimokoski","Tornionlaakson Voima Oy-","0361356-6","Myllytie 1","Pello",95700,"Portimokoski","Vesivoima",11,"3,4",0,0,0,0,0,0,0,11,"3,4",0,,,
"Porttipahta","Kemijoki Oy","0192171-7","PL 8131","ROVANIEMI",96101,"Porttipahta","Vesivoima",40,40,0,0,0,0,0,0,0,40,40,0,,,
"Porvoo","Kilpilahden Voimalaitos Oy","Y-2709525-7","PL 1001","Porvoo",6401,"Porvoo","Erillistuotanto",31,30,0,0,0,45,0,0,0,31,30,45,"Raskas öljy","Maakaasu","Neste- tai jalostamokaasu"
"Porvoo Kilpilahti","Fingrid Oyj","1072894-3","PL 530 ( Arkadiakatu 23 B)","Helsinki",100,"Kilpilahti kt vvl","Erillistuotanto",27,27,0,0,0,0,0,0,0,27,27,0,"Keskiraskas öljy",,
"Porvoo kt 2","Kilpilahden Voimalaitos Oy","Y-2709525-7","PL 1001","Porvoo",6401,"Porvoo kt 2","Teollisuus CHP",0,0,0,48,48,0,0,0,0,48,48,0,"Maakaasu","Keskiraskas öljy",
"Porvoo kt 3","Kilpilahden Voimalaitos Oy","Y-2709525-7","PL 1001","Porvoo",6401,"Porvoo kt 3","Teollisuus CHP",0,0,0,"72,6","72,6",0,0,0,0,"72,6","72,6",0,"Maakaasu","Keskiraskas öljy",
"Porvoo Tolkkinen","Fingrid Oyj","1072894-3","PL 530 ( Arkadiakatu 23 B)","Helsinki",100,"Tolkkinen kt 1, 2","Erillistuotanto",40,40,0,0,0,0,0,0,0,40,40,0,"Keskiraskas öljy",,
"Posion CHP-laitos","Posion Vesi ja Lämpö Oy","0191895-6","Kirkkotie 1"," POSIO",97900,"Posion Voimalaitos Rantatie 3 97900 Posio","Kaukolämpö CHP",0,0,0,0,0,0,"0,6","0,6",0,"0,6","0,6",0,"Metsäpolttoaine, puu","Metsäpolttoaine, puu",
"Posion Energia Oy","Posion Energia Oy","2500790-3","Lapinlahdenkatu 1 C","Helsinki",180,"Posion Energia Oy","Tuulivoima","24,2","24,2",0,0,0,0,0,0,0,"24,2","24,2",0,,,
"Puntarikoski","Pohjois-Karjalan Sähkö Oy","0214732-1","Rantakatu 29","Joensuu",80100,"Kontiolahti, Puntarikoski","Vesivoima","6,9",4,0,0,0,0,0,0,0,"6,9",4,0,,,
